		corr
Sftpa1	Lyz2	0.8232070669463227
Sftpc	Lyz2	0.6707646800387241
Sftpc	Sftpa1	0.9003532864036032
Cav1	Akap5	0.9104277545749551
Fstl1	Akap5	0.6974240169546694
Fstl1	Cav1	0.6604643959740867
Cd36	Lyz2	0.8017180238492194
Cd36	Sftpa1	0.950002313100092
Cd36	Sftpc	0.8577837650559232
Lamp3	Lyz2	0.7997371241403655
Lamp3	Sftpa1	0.9513747516633123
Lamp3	Sftpc	0.8641683087116804
Lamp3	Cd36	0.9436951049497722
Slc34a2	Lyz2	0.7950239841984013
Slc34a2	Sftpa1	0.9576159889255969
Slc34a2	Sftpc	0.8882708079232651
Slc34a2	Cd36	0.9396745534879121
Slc34a2	Lamp3	0.941772082445454
Scd1	Lyz2	0.7582861611570212
Scd1	Sftpa1	0.8955863257868507
Scd1	Sftpc	0.8022427909063492
Scd1	Cd36	0.8911946895450503
Scd1	Lamp3	0.8940858359744085
Scd1	Slc34a2	0.9107788438131575
H2-Aa	Lyz2	0.8472452879569643
H2-Aa	Sftpa1	0.7263596219584424
H2-Aa	Sftpc	0.5513186274847724
H2-Aa	Cd36	0.6754881915200274
H2-Aa	Lamp3	0.6973001125723021
H2-Aa	Slc34a2	0.6615410969788877
H2-Aa	Scd1	0.6450609208931406
S100a6	Akap5	0.8731239507904673
S100a6	Cav1	0.8712522283806977
S100a6	Fstl1	0.6324062737274103
Col4a3	Akap5	0.8180565091738726
Col4a3	Cav1	0.7744853945674288
Col4a3	Fstl1	0.5209332772647118
Col4a3	S100a6	0.692349467044672
Clic5	Akap5	0.860816278346565
Clic5	Cav1	0.8418198088904979
Clic5	Fstl1	0.6048356640765926
Clic5	S100a6	0.80020386283091
Clic5	Col4a3	0.7432120427430258
Cbr2	Lyz2	0.5507079687418632
Cbr2	H2-Aa	0.5725626634573086
Cxcl15	Lyz2	0.709587826887414
Cxcl15	Sftpa1	0.9211114755379444
Cxcl15	Sftpc	0.857820478764616
Cxcl15	Cd36	0.8832042826523144
Cxcl15	Lamp3	0.9035326167744658
Cxcl15	Slc34a2	0.9082747935535507
Cxcl15	Scd1	0.844615782126538
Cxcl15	H2-Aa	0.5814789018289342
Chil1	Lyz2	0.7153596242032914
Chil1	Sftpa1	0.7784117521019309
Chil1	Sftpc	0.6464128959159401
Chil1	Cd36	0.7722598022553198
Chil1	Lamp3	0.7346570651934832
Chil1	Slc34a2	0.7822223754231553
Chil1	Scd1	0.7815270636672417
Chil1	H2-Aa	0.5652823689298425
Chil1	Cbr2	0.5505590708431726
Chil1	Cxcl15	0.779325191340235
Ndnf	Akap5	0.6568527106446079
Ndnf	Cav1	0.6780596161939977
Ndnf	S100a6	0.6085220364264207
Ndnf	Col4a3	0.5862475766105384
Ndnf	Clic5	0.6788665191554842
Scgb1a1	Trf	0.5716915668738259
Scgb1a1	Cbr2	0.5570325373195221
Pdpn	Akap5	0.8830745685423962
Pdpn	Cav1	0.8850086625236615
Pdpn	Fstl1	0.654982802448325
Pdpn	S100a6	0.8024099702049609
Pdpn	Col4a3	0.7742581603669427
Pdpn	Clic5	0.8571864171930478
Pdpn	Ndnf	0.6640490793871793
Sftpd	Lyz2	0.6988457056351076
Sftpd	Sftpa1	0.77074676235536
Sftpd	Sftpc	0.622254010985133
Sftpd	Cd36	0.7318430422635787
Sftpd	Lamp3	0.6958350812094791
Sftpd	Slc34a2	0.7240538906122421
Sftpd	Scd1	0.690237176229633
Sftpd	H2-Aa	0.6680944140161658
Sftpd	Cbr2	0.7163927574275657
Sftpd	Cxcl15	0.6794434340228289
Sftpd	Chil1	0.7281378947597765
Scgb3a2	Trf	0.5985512983491721
Scgb3a2	Cbr2	0.5190723524228611
Scgb3a2	Scgb1a1	0.8918205813456697
Tspan8	Akap5	0.8241020682735811
Tspan8	Cav1	0.7980914678628405
Tspan8	Fstl1	0.6047213888933569
Tspan8	S100a6	0.7086941193296865
Tspan8	Col4a3	0.7138687179181796
Tspan8	Clic5	0.720481246261797
Tspan8	Ndnf	0.5288501985580982
Tspan8	Pdpn	0.7548166747193137
Dpysl2	Akap5	0.8237753226765046
Dpysl2	Cav1	0.7810793649018667
Dpysl2	Fstl1	0.6652965721641922
Dpysl2	S100a6	0.7232785687713499
Dpysl2	Col4a3	0.6713102468274077
Dpysl2	Clic5	0.7305224964383642
Dpysl2	Ndnf	0.5079849346648995
Dpysl2	Pdpn	0.792312849709852
Dpysl2	Tspan8	0.7284740527440939
Emp2	Akap5	0.7699373581745992
Emp2	Cav1	0.7962077654363473
Emp2	Fstl1	0.5491023895880588
Emp2	S100a6	0.763210062683933
Emp2	Col4a3	0.6801412914169485
Emp2	Clic5	0.7369770531049592
Emp2	Ndnf	0.5813756541728926
Emp2	Pdpn	0.7465744675765831
Emp2	Tspan8	0.7111391456830267
Emp2	Dpysl2	0.6422858259404454
Ager	Akap5	0.7613582013238263
Ager	Cav1	0.7264399594750629
Ager	S100a6	0.7093034663296576
Ager	Col4a3	0.7107144652738888
Ager	Clic5	0.7087412926751155
Ager	Ndnf	0.5421913015398728
Ager	Pdpn	0.7396772391508557
Ager	Tspan8	0.6979260982977316
Ager	Dpysl2	0.7002462245245804
Ager	Emp2	0.6855341723574072
Rtkn2	Akap5	0.8709196404250729
Rtkn2	Cav1	0.8663789459115242
Rtkn2	Fstl1	0.610969491139533
Rtkn2	S100a6	0.7830589485862182
Rtkn2	Col4a3	0.7117627511216384
Rtkn2	Clic5	0.8017140446471334
Rtkn2	Ndnf	0.640373865607463
Rtkn2	Pdpn	0.8750235188526172
Rtkn2	Tspan8	0.7189892684468917
Rtkn2	Dpysl2	0.7458091235571446
Rtkn2	Emp2	0.7234683977491598
Rtkn2	Ager	0.7214542229727088
Pmp22	Akap5	0.7783646754979496
Pmp22	Cav1	0.765045742708611
Pmp22	Fstl1	0.5173843153690143
Pmp22	S100a6	0.74883700424743
Pmp22	Col4a3	0.7232305442288011
Pmp22	Clic5	0.7024986021897399
Pmp22	Ndnf	0.6360941613963986
Pmp22	Pdpn	0.7444811327108586
Pmp22	Tspan8	0.6688312244771271
Pmp22	Dpysl2	0.6749880120579569
Pmp22	Emp2	0.668053743329178
Pmp22	Ager	0.636640442687191
Pmp22	Rtkn2	0.693131407522746
Gprc5a	Akap5	0.796990534533206
Gprc5a	Cav1	0.7833180314866972
Gprc5a	Fstl1	0.6093747765900938
Gprc5a	S100a6	0.7686191460391998
Gprc5a	Col4a3	0.7068360196211148
Gprc5a	Clic5	0.7294896961872741
Gprc5a	Ndnf	0.541783366416287
Gprc5a	Pdpn	0.7317388593321182
Gprc5a	Tspan8	0.6788189682129349
Gprc5a	Dpysl2	0.6956108460669618
Gprc5a	Emp2	0.6660639179623842
Gprc5a	Ager	0.6686524100527684
Gprc5a	Rtkn2	0.7076810458374737
Gprc5a	Pmp22	0.6482104486398834
Napsa	Lyz2	0.5544389947439153
Napsa	Sftpa1	0.7652724359448395
Napsa	Sftpc	0.7827401863560587
Napsa	Cd36	0.7346605325549089
Napsa	Lamp3	0.7588034295658482
Napsa	Slc34a2	0.7480131761127179
Napsa	Scd1	0.6786811875553682
Napsa	H2-Aa	0.50298087925015
Napsa	Cxcl15	0.6951062572976467
Napsa	Chil1	0.5007730226101206
Napsa	Sftpd	0.516411941532261
Itgb6	Akap5	0.749081092447629
Itgb6	Cav1	0.6905047410972365
Itgb6	Fstl1	0.5309199983724483
Itgb6	S100a6	0.6455299659162846
Itgb6	Col4a3	0.7645601060043465
Itgb6	Clic5	0.6769617534849592
Itgb6	Ndnf	0.5543674764555244
Itgb6	Pdpn	0.6933407564993493
Itgb6	Tspan8	0.6381209148035857
Itgb6	Dpysl2	0.6082192887447052
Itgb6	Emp2	0.6478109174765575
Itgb6	Ager	0.6350145880924044
Itgb6	Rtkn2	0.6544697130110483
Itgb6	Pmp22	0.672544013930127
Itgb6	Gprc5a	0.6719609427418253
Etv5	Lyz2	0.6392256003250645
Etv5	Sftpa1	0.8087463160131416
Etv5	Sftpc	0.8023553699192983
Etv5	Cd36	0.7884878061383376
Etv5	Lamp3	0.7939909637392694
Etv5	Slc34a2	0.8083207473805902
Etv5	Scd1	0.7198687231861037
Etv5	H2-Aa	0.5408787623375974
Etv5	Cxcl15	0.735677556733731
Etv5	Chil1	0.6052814154732603
Etv5	Sftpd	0.5667273892243513
Etv5	Napsa	0.6580974078425188
Sdpr	Akap5	0.8557452351074727
Sdpr	Cav1	0.845115439945823
Sdpr	Fstl1	0.6897534099368171
Sdpr	S100a6	0.7646641991307145
Sdpr	Col4a3	0.7511186456304095
Sdpr	Clic5	0.8066332605504323
Sdpr	Ndnf	0.5755121168933124
Sdpr	Pdpn	0.8529333723802885
Sdpr	Tspan8	0.6993411267141408
Sdpr	Dpysl2	0.7455064523970795
Sdpr	Emp2	0.6924166846283505
Sdpr	Ager	0.6553997917557267
Sdpr	Rtkn2	0.8864174158158895
Sdpr	Pmp22	0.7200955562492892
Sdpr	Gprc5a	0.6933190081235223
Sdpr	Itgb6	0.6907710839332526
Tmem37	Akap5	0.6823334448357815
Tmem37	Cav1	0.7044211514915574
Tmem37	S100a6	0.6504995338175237
Tmem37	Col4a3	0.6177463415343113
Tmem37	Clic5	0.6385204191647806
Tmem37	Ndnf	0.5505428533274789
Tmem37	Pdpn	0.6524120614508162
Tmem37	Tspan8	0.6476608911001491
Tmem37	Dpysl2	0.6119048961956354
Tmem37	Emp2	0.5891354481019787
Tmem37	Ager	0.6710695457971133
Tmem37	Rtkn2	0.6168597455035754
Tmem37	Pmp22	0.6544004370293806
Tmem37	Gprc5a	0.558142550109161
Tmem37	Itgb6	0.5356187474095748
Tmem37	Sdpr	0.6078946787744983
Ly6e	Lyz2	0.6603453014813644
Ly6e	Sftpa1	0.5916186592807514
Ly6e	Cd36	0.5509787763885257
Ly6e	Lamp3	0.557973352322178
Ly6e	Slc34a2	0.553211930801056
Ly6e	Scd1	0.5203662930163038
Ly6e	H2-Aa	0.6801737749542544
Ly6e	Cbr2	0.6990388346127475
Ly6e	Cxcl15	0.5197779541402444
Ly6e	Chil1	0.5949330770322289
Ly6e	Sftpd	0.6594613562853631
Cd74	Lyz2	0.7787482393203523
Cd74	Sftpa1	0.7992165611599916
Cd74	Sftpc	0.678346114392341
Cd74	Cd36	0.7588272355934815
Cd74	Lamp3	0.783683738175423
Cd74	Slc34a2	0.7489462794318373
Cd74	Scd1	0.6960904915626636
Cd74	H2-Aa	0.7874726309023369
Cd74	Cxcl15	0.6713810993875519
Cd74	Chil1	0.5710570488625005
Cd74	Sftpd	0.6550377141733501
Cd74	Napsa	0.604721844849828
Cd74	Etv5	0.68610222599013
Cd74	Ly6e	0.5675548917318259
Rnase4	Lyz2	0.7177315160650977
Rnase4	Sftpa1	0.7501173247931018
Rnase4	Sftpc	0.6687830992640729
Rnase4	Cd36	0.7428070663979099
Rnase4	Lamp3	0.748232164242157
Rnase4	Slc34a2	0.7750396339190987
Rnase4	Scd1	0.7543100785573565
Rnase4	H2-Aa	0.5910151650570846
Rnase4	Cxcl15	0.7256914704351316
Rnase4	Chil1	0.694330245438726
Rnase4	Sftpd	0.6039097891273043
Rnase4	Napsa	0.5855483679934207
Rnase4	Etv5	0.577527516770032
Rnase4	Cd74	0.5727439049753948
Lgals3	Akap5	0.7368481969216057
Lgals3	Cav1	0.7390713512197823
Lgals3	Fstl1	0.5216325971119177
Lgals3	S100a6	0.7590711692834511
Lgals3	Col4a3	0.7032338588212157
Lgals3	Clic5	0.7720900239543871
Lgals3	Ndnf	0.5790933813902608
Lgals3	Pdpn	0.7288172561287167
Lgals3	Tspan8	0.6159357902538733
Lgals3	Dpysl2	0.7065624128724098
Lgals3	Emp2	0.6723605309700292
Lgals3	Ager	0.7071064448711878
Lgals3	Rtkn2	0.6750538555575817
Lgals3	Pmp22	0.6528332072226537
Lgals3	Gprc5a	0.6381734170189496
Lgals3	Itgb6	0.6473845817516565
Lgals3	Sdpr	0.6953417111398021
Lgals3	Tmem37	0.6271712425843452
H2-Ab1	Lyz2	0.7788720662163992
H2-Ab1	Sftpa1	0.6748708945951524
H2-Ab1	Sftpc	0.5123077818888897
H2-Ab1	Cd36	0.6487162449064074
H2-Ab1	Lamp3	0.6589964936904682
H2-Ab1	Slc34a2	0.6157545760991578
H2-Ab1	Scd1	0.6185193721345844
H2-Ab1	H2-Aa	0.8942733166854742
