	adjusted_p_values	mean_all	mean_kmeans_0	mean_kmeans_1	pvalues	ratio kmeans_0 to kmeans_1
Krt7	4.225203438128024e-14	3.2727656020045575	5.608733139218824	0.3138130379167607	3.709247158395245e-18	5.0301929943532295
Rnase4	4.41870047725652e-12	4.545897577904601	2.3364952879807257	8.967147669770007	7.758231019676095e-16	0.3347492581152573
Cav1	1.3233968144437685e-10	4.384348786816015	5.650248082311793	0.08286448028859818	3.4853748075948604e-14	6.141348435899763
Tmem213	2.1253190592811536e-10	3.691439649438807	5.621540887304403	0.7570030507681363	7.463151819089294e-14	3.7686564541874645
Lyz2	2.27996798009072e-10	4.665559878342134	1.4655939476380528	11.240885668859804	1.0007760425295058e-13	0.20142283935470448
Krt19	2.365543664453116e-10	3.2487631855223116	4.9973872944132065	0.3273386167837909	1.246006670768036e-13	4.518355164671681
S100a6	2.530163342418911e-10	3.741250253395462	5.25830980931942	0.3126554373391986	1.554836572463557e-13	4.767671417264874
Hopx	2.762069222167547e-10	3.366238787549456	4.314691963217284	0.4632662768857741	1.9398256322834148e-13	3.632074385345902
Actb	5.444359906107822e-10	10.206408129833614	11.539488835865255	8.708104559535295	4.3015748533904303e-13	1.2916516050034685
Slc34a2	1.1516495618545711e-09	5.129037614465891	4.037552537975408	9.983387366015762	1.0110170852906428e-12	0.45865199597369627
Anxa1	1.4247382502901024e-09	4.655918539758029	7.577348023751139	1.7473582002665908	1.3758336189264444e-12	3.1220348416594645
Sftpa1	6.314946975005239e-09	6.006084428921483	5.265678357212642	11.971229858756596	6.921872204112089e-12	0.48304427763901037
Ahnak	6.314946975005239e-09	4.674715494575006	5.998873524064152	1.743343342660657	7.740444005721828e-12	2.551220408771812
Gm10076	6.314946975005239e-09	3.8823089749053215	5.8948336719182794	1.5199650527888373	7.761325401639307e-12	2.736083051742241
Sdpr	1.0407943189554854e-08	3.5423512564662616	3.8518440220606096	0.06232271829687322	1.460664535504015e-11	4.567203485809976
Lamp3	1.0407943189554854e-08	4.085362003612396	3.1623519606075807	8.646014797456582	1.4619181022989875e-11	0.43151001195904143
Gm12715	1.560846066453941e-08	2.0753968849627857	3.4681314485415764	0.4265176390124652	2.3294164805299796e-11	3.1321950225829163
Agrn	1.8457125400794558e-08	3.096647583735187	4.186953210519501	0.4814169387528145	2.916585525540357e-11	3.501345957935603
Cd36	2.676567566926115e-08	4.171810092703202	3.3951557929629153	8.77960435142117	4.464470526871758e-11	0.4494206140685244
Cxcl15	6.274893004800535e-08	5.228100926066617	4.897337171002165	9.85504913516564	1.1140056259657575e-10	0.5432805598177678
Scd1	6.274893004800535e-08	4.227234343623395	3.050772805589426	9.029880526533315	1.1568146176877467e-10	0.4038704942569758
Rps19	7.545927557290691e-08	8.426041999760495	9.463194653153291	7.043854824041032	1.5117291973103898e-10	1.300768708788909
Akap5	7.545927557290691e-08	5.345578865533837	6.504068382577516	0.8132071367746047	1.5609765559108872e-10	4.1385610228327305
Pdcd4	7.545927557290691e-08	2.6497200351929266	5.0853546688443405	1.0276081076887875	1.5898714895529506e-10	3.0012479461728243
Fstl1	1.0362861271911831e-07	5.98466823493491	8.737632147203287	1.9990914339152097	2.2743528381862505e-10	3.246860711575955
Msln	1.7590860774756083e-07	2.7962235636739377	3.831985047919468	0.028712075815547067	4.0151205350158734e-10	4.697120954946256
Tmsb10	3.9366941035309456e-07	2.3839584198218713	3.317041478661668	0.6068479049150881	9.665670027125163e-10	2.686652212357209
2200002D01Rik	3.9366941035309456e-07	1.7909437011828566	2.670067193669839	0.12928817028399894	9.676712746805942e-10	3.249894305318785
Cyr61	4.106144803826849e-07	3.5031380416146507	6.2012496763771585	1.2125967859151934	1.0453709008074674e-09	3.2546597383754743
Clic3	4.607017008868714e-07	5.084369914399454	6.815565112189285	2.5149848274013116	1.2343179045520505e-09	2.2234989611512677
Gm11808	4.607017008868714e-07	2.981100331098184	4.440124821373307	1.1469019538902288	1.2537751494594868e-09	2.5339419024309393
Pdpn	5.240098645267651e-07	3.8247791480442523	4.313047526241429	0.2986893995178425	1.472067041072468e-09	4.0910840792370955
Rpl36	5.395980425748965e-07	4.617981866561329	6.727620975886867	2.0356874921617396	1.563228461502202e-09	2.545591730321345
Dynlt1f	5.494759539780705e-07	2.851431119460846	5.120863785576093	1.3401125094213955	1.6400827350763234e-09	2.6156279926427586
Rplp2	5.736241420021146e-07	4.495656580579066	6.372997119408409	2.750196555210861	1.762518213508385e-09	1.966029516283274
Rps26-ps1	5.880633588619813e-07	1.1512695605270544	1.6491319747193087	0.16228000432756617	1.8585094301669145e-09	2.2792545383691394
Hc	9.106090325754624e-07	3.2144572531457465	1.989047812720313	7.06041026848122	2.957820578113608e-09	0.37083072860552085
Rpl15-ps3	9.508742981057521e-07	3.219508702793908	5.3085778026478065	1.7631624834507988	3.1720852715317865e-09	2.283100556131352
Rpl28-ps1	1.386709935221572e-06	2.556616891014567	3.853521435644691	0.9444893936031726	4.818594361887522e-09	2.4960390381204554
Notch2	1.386709935221572e-06	3.117692180964981	5.200819075587932	1.3472886232776802	4.869493232276612e-09	2.6416943421850285
Clic5	1.6186863610964222e-06	4.7390813053248255	5.599472369728132	1.2963214742545843	5.979485127000398e-09	2.873932262411301
Cdkn1c	1.6186863610964222e-06	2.4108194058028567	4.674519861042666	0.7015518943294394	6.0445986878042145e-09	3.334908491450344
Rpl28	1.6186863610964222e-06	4.3809088554186335	6.226223089758565	2.762847218345486	6.110395358365916e-09	1.920413631073737
Gm4604	1.7333291835131866e-06	1.0511791010136133	1.6637231508122636	0.20093105229739391	6.695328248141534e-09	2.218048359825931
