	kmeans_0_cells	kmeans_2_cells2
0	SRR1034019_AT2	SRR1033866_C18.5_1
1	SRR1033904_C18.5_2	SRR1033868_C18.5_1
2	SRR1033900_C18.5_2	SRR1033865_C18.5_1
3	SRR1033998_AT2	SRR1033905_C18.5_2
4	SRR1033870_C18.5_1	SRR1033857_C18.5_1
5	SRR1033984_AT2	SRR1033925_C18.5_3
6	SRR1033987_AT2	SRR1033887_C18.5_2
7	SRR1033877_C18.5_2	SRR1033892_C18.5_2
8	SRR1034004_AT2	SRR1033886_C18.5_2
9	SRR1033990_AT2	SRR1033859_C18.5_1
10	SRR1033992_AT2	SRR1033917_C18.5_3
11	SRR1033912_C18.5_3	SRR1033911_C18.5_3
12	SRR1033863_C18.5_1	SRR1033931_C18.5_3
13		SRR1033913_C18.5_3
14		SRR1033884_C18.5_2
15		SRR1033923_C18.5_3
16		SRR1033930_C18.5_3
17		SRR1033903_C18.5_2
18		SRR1033920_C18.5_3
19		SRR1033924_C18.5_3
20		SRR1033999_AT2
21		SRR1033854_C18.5_1
22		SRR1033858_C18.5_1
