	adjusted_p_values	mean_all	mean_kmeans_0	pvalues	ratio kmeans_0 to kmeans_3
Acsl4	2.5052021039677133e-10	3.845270650502986	0.988858384244497	2.2014078242247042e-14	3.238857911867048
Fasn	1.1398123562386017e-07	2.681180082479579	0.7495859125640055	2.0031851603490363e-11	2.989778341301196
Sftpb	1.9249072144679126e-07	3.1554169318220673	0.4083278018002959	5.0744478413038115e-11	3.2105309746894988
Trf	4.040809706337432e-07	2.7794040209993676	0.31108779415214644	1.7067989820124845e-10	5.297061077438697
Cbr2	4.040809706337432e-07	4.164910955344306	0.11166283794812112	1.7753996952273427e-10	6.588168736234108
Dcxr	4.975431523733931e-07	1.930567848458588	0.4351392381461061	2.623250364007345e-10	3.87628671344214
Aldh1a7	1.4054338309826222e-06	1.6652579733475779	0.20171968831462356	8.645023564919468e-10	4.273376704680326
Nupr1	8.343211438079833e-06	2.4049979397343035	0.08359764044125945	6.530391547739425e-09	4.689280923584298
Herpud1	8.343211438079833e-06	3.230691073238246	1.6273003712698308	6.598321875458568e-09	2.5324138666996423
Atp6v1c2	1.7390825213066535e-05	1.7755489330181873	0.0	1.5281920222378324e-08	3.775877026754896
Hp	1.8318021760440885e-05	2.0892666776071382	0.048450047784013836	1.7706347923097516e-08	5.690986245997562
Cebpa	3.305887637762077e-05	1.105577288282094	0.006937713570740154	3.4859975090637016e-08	3.1827542933965636
Sftpd	3.353181351636189e-05	4.4680208588628165	0.7636946943235207	4.0466298598627925e-08	3.45416235512795
Ldhb	3.353181351636189e-05	2.1767331343870895	0.32205107746514094	4.1251791672149946e-08	3.944498512773116
Bmp3	5.0432874155523176e-05	0.6689961765820309	0.0	6.647566892204286e-08	3.630383066728038
Sftpa1	5.7805014540524925e-05	6.006084428921483	0.729234820389666	8.85425880593504e-08	3.623382020378663
Cxcl15	5.7805014540524925e-05	5.228100926066617	1.0195962980570679	9.022809839170747e-08	2.9200574276530604
Pdpn	5.7805014540524925e-05	3.8247791480442523	7.665223484907192	9.537396382557291e-08	0.6131460470114274
Cyp2f2	5.7805014540524925e-05	1.375759224217816	0.07754082616341675	9.65110084595759e-08	5.368903086630782
Cd200	5.927752688307042e-05	2.2786238380927215	0.16707666691495898	1.0417843037446471e-07	3.747453351397652
Col4a4	7.69446584498569e-05	3.0125562385936426	5.8815397745379725	1.570589018275434e-07	0.48499844428983124
Clic5	7.69446584498569e-05	4.7390813053248255	8.280160130471765	1.5763472265117986e-07	0.7111377688471677
Ly6e	7.69446584498569e-05	3.130831619763043	0.19718767939785228	1.6148415369986147e-07	4.216843183569188
Scgb3a2	7.69446584498569e-05	1.3727912256875607	0.2064099101116311	1.6227344488546268e-07	5.400322182764988
Gm43305	8.251166244748376e-05	0.7067734455379732	0.17034032107799651	1.812646363081805e-07	2.236474423328125
Sdpr	8.769778386356185e-05	3.5423512564662616	7.141794926667356	2.0036400531218e-07	0.5959182300415166
Cd24a	0.00013504535582139273	1.771176104354615	0.7538961301163178	3.2040638024407767e-07	3.075490062366983
Pi4k2b	0.0001580203576431094	2.714820839923856	0.5688576454238103	3.888022859408667e-07	2.8332448784861404
Scgb1a1	0.0002139307018052734	2.3039736393577828	0.7157412088149633	5.451661118060571e-07	4.104688401775248
Emb	0.00021520926239062784	1.5544305854000315	0.07050310643843576	5.673354896062246e-07	3.350616046576006
Rtkn2	0.00025008778943058163	3.2685389198195796	6.779936606187352	6.812584773592294e-07	0.5771827081102794
Atp2a2	0.00026198937224855285	1.9785045009405016	0.5826393962783636	7.36701222491537e-07	2.624969024760829
