	adjusted_p_values	mean_all	mean_all_other	mean_kmeans_1	pvalues	ratio kmeans_1 to everything
Pdpn	8.198991051815506e-22	3.8247791480442523	1.5529670051112465	7.665223484907192	7.204737303880058e-26	3.3941776245281328
Sdpr	2.7942439288368818e-21	3.5423512564662616	1.4131028881782897	7.141794926667356	4.9107977659699155e-25	3.373994107981776
Rtkn2	4.691037475390204e-21	3.2685389198195796	1.1913740912639967	6.779936606187352	1.2366531130202645e-24	3.5502549004309167
Sftpb	8.65289163172314e-21	3.1554169318220673	4.780455572116636	0.408327801800296	3.0414381833824746e-24	0.24363612594718154
Sftpa1	6.710863644447482e-19	6.006084428921483	9.127601098757204	0.729234820389666	3.264524221454166e-22	0.17074476013889084
Akap5	6.710863644447482e-19	5.345578865533837	2.7075527691755163	9.805099171282428	3.5382409373185315e-22	2.9143480468075067
Cxcl15	6.860401595764678e-19	5.228100926066617	7.717638875030011	1.0195962980570676	4.2199306828077983e-22	0.2316678090258832
Clic5	7.838666611497625e-18	4.7390813053248255	2.6443586200266367	8.280160130471764	5.510486194374429e-21	2.5464453688709523
Cav1	8.94579169416528e-18	4.384348786816015	2.054116173656569	8.323551537633174	7.07487919573704e-21	3.0527822150492936
Slc34a2	1.3059553703394905e-16	5.129037614465891	7.508462563484127	1.1066763911255388	1.239101196952468e-19	0.24759777402874025
Lamp3	1.3059553703394905e-16	4.085362003612396	6.367223932018609	0.22792874368760865	1.2623470187815814e-19	0.16667455136675313
Hopx	1.3198508914718676e-16	3.366238787549456	1.706107677836738	6.172650901587621	1.3917584092849219e-19	2.6505415731725197
Sftpd	2.231865846533397e-16	4.4680208588628165	6.659312392815638	0.7636946943235207	2.571659527682265e-19	0.23026801935613037
Acsl4	2.231865846533397e-16	3.845270650502986	5.534979315050261	0.9888583842444968	2.8384750628243813e-19	0.3043404253268398
Cbr2	2.231865846533397e-16	4.164910955344306	6.562607024789937	0.11166283794812112	2.9418266869948116e-19	0.1469946586281864
Cd36	3.002528133720122e-16	4.171810092703202	6.416783042263199	0.3767367732089217	4.22148068009859e-19	0.18562451744426606
Col4a4	4.951763299991091e-16	3.0125562385936426	1.3154110483167152	5.881539774537972	7.397185949020084e-19	2.9720596606554133
Col4a3	1.3637730013571703e-14	3.6982911669273717	1.7063424131411367	7.0656331078517205	2.1571101954682834e-17	2.9802707405713242
Limch1	5.3861048478798045e-14	3.9848441864836595	2.313136447643183	6.810826316428274	8.992617935827442e-17	2.3575323382725593
Pmp22	6.780566200519204e-14	2.8405871051867764	1.1306771027106985	5.731149252229669	1.1916636556272768e-16	3.159159707337231
Ahnak	1.0379419758015214e-13	4.674715494575006	3.0277156012540853	7.45892959995085	1.9153586548182732e-16	2.1001804589472615
S100a6	1.1209497107486145e-13	3.741250253395462	1.9581422071342305	6.7555519506465895	2.1670381051379192e-16	2.6217644073845805
Chil1	2.2390148415250837e-13	3.7366147797774065	5.837515367181827	0.1850923582127899	4.52524967970799e-16	0.1733220760132992
Sftpc	2.336230241773531e-13	9.543054871756373	12.27197472417898	4.929880835518159	4.927023356991629e-16	0.4467971766639262
Scd1	3.196007269228686e-13	4.227234343623395	6.399306441733114	0.5553981777712549	7.021105600238765e-16	0.21020864455600777
Fbln5	2.2343355676434973e-12	2.3601543530599622	0.8820123223516523	4.8589182621144875	5.104808854018535e-15	3.113113656340744
Emp2	8.350005135612583e-12	6.616462005872445	4.960484752149289	9.41585212526159	1.9811084240908588e-14	1.7474840652022041
Dag1	1.0345176009557089e-11	3.869683793736004	2.47955423613464	6.219664712538309	2.545386012896296e-14	2.074882074710373
Dpysl2	1.1909844270772825e-11	6.518149657450423	4.594539391816818	9.76996701125961	3.0976675282437924e-14	1.925085562363353
Agrn	1.1909844270772825e-11	3.096647583735187	1.6651919301913387	5.516489283773597	3.1396777515218345e-14	2.445035650136374
Tspan8	2.2680532751988725e-11	4.185757526390693	2.503939130482255	7.0288314813787665	6.178352507132254e-14	2.2913729897681585
Etv5	2.2691314096437544e-11	3.1742832122354088	4.810408797267423	0.4084518661098609	6.380685861915653e-14	0.2424015099888052
Ly6e	3.7171259552343336e-11	3.130831619763043	4.8662266267396355	0.19718767939785228	1.0779011996725219e-13	0.20408138920865931
Hc	3.7580615353390693e-11	3.2144572531457465	4.9867347655651075	0.21846431548444703	1.1227951863051702e-13	0.2035273589357741
Sema3a	4.185920947967102e-11	2.999414525981062	1.4837050873326016	5.561685243696315	1.2874097818879486e-13	2.6418938694300853
Tinagl1	5.005839793291435e-11	2.385136999984967	1.1134564744063826	4.534882650367812	1.6170467230360116e-13	2.618877046863443
Lmo7	5.005839793291435e-11	5.273326826914959	3.7853870830599132	7.7886535367651515	1.6275577535306073e-13	1.8365606343270848
Lgals3	5.117023903330062e-11	3.225050828707054	1.7765911153721403	5.6736374869636945	1.708672305154151e-13	2.4035362823197834
Ager	5.2306242041591074e-11	7.117864087500456	5.4975684743525495	9.85693524306001	1.792568927611645e-13	1.6709227899505668
Qk	1.1228820598796047e-10	4.963288069659588	3.3282245917754323	7.727323948939945	3.9468613704028286e-13	2.0163750202620623
Myh9	2.3497007748152533e-10	4.11848606805405	2.9333389315147227	6.121949084584819	8.465530032286941e-13	1.8106624444494965
Fxyd3	2.6364201246115126e-10	1.3985046552758695	0.42737747646304936	3.040172028983256	9.73019729645725e-13	2.8304860456356264
Dram1	3.2669083248601354e-10	3.739577700525016	5.3429205037850505	1.029164866442576	1.2344205445429332e-12	0.319910184154397
Msln	4.804956172658793e-10	2.7962235636739377	1.343335478671194	5.252296278797624	1.857803792592152e-12	2.668118302183107
Cd74	4.916602221511604e-10	2.0506724091943735	3.2637462287178067	0.0	1.9441748679088066e-12	0.23453553433003443
Id3	8.260132139446407e-10	2.9888004759165656	1.496377304803516	5.511706312798149	3.3388934834317635e-12	2.608462390788587
Lamc1	8.957866111889012e-10	1.9206710303827816	0.8106530426256471	3.7971300096865095	3.69964593373272e-12	2.6493921788186103
Vegfa	1.2336671028747283e-09	3.5205772704024123	2.297616476508509	5.5879633743659145	5.203516778381983e-12	1.9977955051162284
Ptrf	1.4230778977042878e-09	4.300166025354171	2.9091660337309095	6.651618392145875	6.127488311731995e-12	1.9573531352013636
Gprc5a	1.693697903451689e-09	4.933044470950694	3.308342939691496	7.67956372617458	7.441554936079478e-12	2.0145944386674315
Egfl6	2.4996543793036597e-09	3.422578932067197	4.9045177398784086	0.9173966617196757	1.1202317517090215e-11	0.3247338302957085
Lyz2	3.2466559414734963e-09	4.665559878342134	7.2522012064858234	0.29290429981351584	1.4835334706205783e-11	0.15667387009387954
Clic3	3.2504480646818854e-09	5.084369914399454	3.691023078876346	7.4397895649266115	1.513829063516168e-11	1.799136227432123
Ctsc	3.418608587598133e-09	5.546695347749906	7.028411638744128	3.041889236783481	1.6221868517600984e-11	0.5034481811168999
mt-Rnr2	3.477378204722595e-09	11.326608239082525	10.963830900047933	11.939874693164807	1.680630942528495e-11	1.0815828810413028
Ndnf	4.054242416300525e-09	3.7154091830208573	2.1019641341629005	6.4428996227569275	1.9950577795503463e-11	2.3994151127622487
Igfbp6	4.234214709291271e-09	2.258800042743407	1.0576638907574467	4.289292109195863	2.1322686652291745e-11	2.5705325991062717
Timp3	4.234214709291271e-09	6.667563923063149	5.126565748139436	9.272584647338947	2.158035616334743e-11	1.6767280511857083
Npnt	4.2676239784873275e-09	2.920257965874649	1.6702944972184888	5.033291448602921	2.2125642770716376e-11	2.2594105087987475
Scnn1g	5.6071761137281095e-09	1.6086198296600442	0.40666477221506	3.640496236293232	2.956331870155418e-11	3.2989354165640274
Pi4k2b	5.745382676407107e-09	2.714820839923856	3.9842638563886696	0.5688576454238103	3.0796866718878165e-11	0.31476215758780485
Nupr1	6.057246263437305e-09	2.4049979397343035	3.7782206519921604	0.08359764044125945	3.3000814440519585e-11	0.22677848499723013
Dbi	7.2119755215635265e-09	3.794908091215522	4.880470439186356	1.9597907886934005	4.00397103000869e-11	0.503325510994819
