	kmeans_1_cells2	kmeans_2_cells
0	SRR1033982_AT2	SRR1033992_AT2
1	SRR1034022_AT2	SRR1034004_AT2
2	SRR1034013_AT2	SRR1033912_C18.5_3
3	SRR1034020_AT2	SRR1033863_C18.5_1
4	SRR1033981_AT2	SRR1034019_AT2
5	SRR1033921_C18.5_3	SRR1033870_C18.5_1
6	SRR1034017_AT2	SRR1033984_AT2
7	SRR1033994_AT2	SRR1033877_C18.5_2
8	SRR1033995_AT2	SRR1033998_AT2
9	SRR1033997_AT2	SRR1033990_AT2
10	SRR1034018_AT2	SRR1033987_AT2
11	SRR1033986_AT2	SRR1033900_C18.5_2
12	SRR1033983_AT2	SRR1033904_C18.5_2
13	SRR1034006_AT2	
14	SRR1034002_AT2	
15	SRR1033988_AT2	
16	SRR1034014_AT2	
17	SRR1034008_AT2	
18	SRR1033991_AT2	
19	SRR1034007_AT2	
20	SRR1033856_C18.5_1	
21	SRR1034001_AT2	
22	SRR1034010_AT2	
23	SRR1033915_C18.5_3	
24	SRR1033914_C18.5_3	
25	SRR1033853_C18.5_1	
26	SRR1034021_AT2	
27	SRR1033993_AT2	
28	SRR1033855_C18.5_1	
29	SRR1033932_C18.5_3	
30	SRR1034026_AT2	
31	SRR1034024_AT2	
32	SRR1034005_AT2	
33	SRR1033996_AT2	
34	SRR1034009_AT2	
