	GroupID	SampleID
0	kmeans_3	SRR1033910_C18.5_3
1	kmeans_0	SRR1033868_C18.5_1
2	kmeans_0	SRR1033886_C18.5_2
3	kmeans_0	SRR1033865_C18.5_1
4	kmeans_0	SRR1033923_C18.5_3
5	kmeans_3	SRR1033867_C18.5_1
6	kmeans_0	SRR1033858_C18.5_1
7	kmeans_3	SRR1033933_C18.5_3
8	kmeans_3	SRR1033894_C18.5_2
9	kmeans_3	SRR1033885_C18.5_2
10	kmeans_3	SRR1033906_C18.5_2
11	kmeans_3	SRR1033897_C18.5_2
12	kmeans_3	SRR1033916_C18.5_3
13	kmeans_3	SRR1033879_C18.5_2
14	kmeans_0	SRR1033999_AT2
15	kmeans_0	SRR1033857_C18.5_1
16	kmeans_0	SRR1033920_C18.5_3
17	kmeans_0	SRR1033911_C18.5_3
18	kmeans_0	SRR1033866_C18.5_1
19	kmeans_3	SRR1033922_C18.5_3
20	kmeans_1	SRR1033914_C18.5_3
21	kmeans_3	SRR1033860_C18.5_1
22	kmeans_3	SRR1033862_C18.5_1
23	kmeans_1	SRR1034026_AT2
24	kmeans_3	SRR1033927_C18.5_3
25	kmeans_1	SRR1033991_AT2
26	kmeans_3	SRR1033907_C18.5_2
27	kmeans_0	SRR1033917_C18.5_3
28	kmeans_0	SRR1033931_C18.5_3
29	kmeans_3	SRR1033878_C18.5_2
30	kmeans_0	SRR1033913_C18.5_3
31	kmeans_0	SRR1033930_C18.5_3
32	kmeans_3	SRR1033934_C18.5_3
33	kmeans_0	SRR1033884_C18.5_2
34	kmeans_1	SRR1033997_AT2
35	kmeans_1	SRR1034007_AT2
36	kmeans_1	SRR1033915_C18.5_3
37	kmeans_3	SRR1033896_C18.5_2
38	kmeans_3	SRR1033880_C18.5_2
39	kmeans_3	SRR1033889_C18.5_2
40	kmeans_0	SRR1033892_C18.5_2
41	kmeans_3	SRR1033919_C18.5_3
42	kmeans_3	SRR1033871_C18.5_1
43	kmeans_1	SRR1033993_AT2
44	kmeans_1	SRR1033932_C18.5_3
45	kmeans_3	SRR1033908_C18.5_2
46	kmeans_3	SRR1033883_C18.5_2
47	kmeans_1	SRR1033855_C18.5_1
48	kmeans_0	SRR1033925_C18.5_3
49	kmeans_0	SRR1033859_C18.5_1
50	kmeans_3	SRR1033891_C18.5_2
51	kmeans_3	SRR1033928_C18.5_3
52	kmeans_0	SRR1033854_C18.5_1
53	kmeans_1	SRR1033853_C18.5_1
54	kmeans_3	SRR1033872_C18.5_1
55	kmeans_3	SRR1033895_C18.5_2
56	kmeans_1	SRR1034005_AT2
57	kmeans_1	SRR1034001_AT2
58	kmeans_3	SRR1033929_C18.5_3
59	kmeans_3	SRR1033881_C18.5_2
60	kmeans_3	SRR1033869_C18.5_1
61	kmeans_3	SRR1033926_C18.5_3
62	kmeans_1	SRR1033856_C18.5_1
63	kmeans_3	SRR1033890_C18.5_2
64	kmeans_3	SRR1033876_C18.5_2
65	kmeans_3	SRR1033898_C18.5_2
66	kmeans_1	SRR1033981_AT2
67	kmeans_3	SRR1033902_C18.5_2
68	kmeans_1	SRR1034010_AT2
69	kmeans_1	SRR1033982_AT2
70	kmeans_0	SRR1033924_C18.5_3
71	kmeans_1	SRR1033921_C18.5_3
72	kmeans_1	SRR1033994_AT2
73	kmeans_1	SRR1033983_AT2
74	kmeans_0	SRR1033905_C18.5_2
75	kmeans_1	SRR1034006_AT2
76	kmeans_3	SRR1033901_C18.5_2
77	kmeans_3	SRR1033888_C18.5_2
78	kmeans_1	SRR1034014_AT2
79	kmeans_2	SRR1033877_C18.5_2
80	kmeans_3	SRR1033909_C18.5_3
81	kmeans_1	SRR1033986_AT2
82	kmeans_0	SRR1033903_C18.5_2
83	kmeans_1	SRR1034013_AT2
84	kmeans_1	SRR1034002_AT2
85	kmeans_2	SRR1033904_C18.5_2
86	kmeans_1	SRR1034017_AT2
87	kmeans_3	SRR1033882_C18.5_2
88	kmeans_1	SRR1033996_AT2
89	kmeans_1	SRR1034022_AT2
90	kmeans_1	SRR1034021_AT2
91	kmeans_0	SRR1033887_C18.5_2
92	kmeans_3	SRR1033893_C18.5_2
93	kmeans_1	SRR1034009_AT2
94	kmeans_3	SRR1033875_C18.5_2
95	kmeans_2	SRR1033870_C18.5_1
96	kmeans_2	SRR1033912_C18.5_3
97	kmeans_1	SRR1034024_AT2
98	kmeans_1	SRR1034018_AT2
99	kmeans_1	SRR1033995_AT2
100	kmeans_1	SRR1034020_AT2
101	kmeans_2	SRR1033863_C18.5_1
102	kmeans_3	SRR1033899_C18.5_2
103	kmeans_2	SRR1034004_AT2
104	kmeans_1	SRR1034008_AT2
105	kmeans_2	SRR1034019_AT2
106	kmeans_2	SRR1033992_AT2
107	kmeans_1	SRR1033988_AT2
108	kmeans_2	SRR1033984_AT2
109	kmeans_2	SRR1033990_AT2
110	kmeans_2	SRR1033900_C18.5_2
111	kmeans_2	SRR1033998_AT2
112	kmeans_2	SRR1033987_AT2
