GeneID	Correlation
Sftpa1	1.0
Slc34a2	0.9576159889255969
Lamp3	0.9513747516633123
Cd36	0.950002313100092
Cxcl15	0.9211114755379444
Sftpc	0.9003532864036032
Scd1	0.8955863257868507
Sftpb	0.8697089676142031
Lyz2	0.8232070669463227
Egfl6	0.8145650038423958
Hc	0.8111026275747982
Etv5	0.8087463160131416
Cd74	0.7992165611599916
Dram1	0.78040134023491
Chil1	0.7784117521019309
Sftpd	0.77074676235536
Napsa	0.7652724359448395
Rnase4	0.7501173247931018
S100g	0.7304221755228207
H2-Aa	0.7263596219584424
H2-Ab1	0.6748708945951524
Baiap2l1	0.6715598619213198
Lpcat1	0.6612181506412398
H2-Eb1	0.6611653013757374
Ctsc	0.6345995033348736
Acsl4	0.6331810728695627
Lcn2	0.6288394842188799
Il33	0.6260995470716818
Acot7	0.6167676193744452
Npc2	0.6158236565728556
Pon3	0.6112600318233028
Cat	0.5953645403493631
Ly6e	0.5916186592807514
Elovl1	0.5846716776787025
Ank3	0.569949809619228
Adgrf5	0.5432155462142884
Scp2	0.5277616669195926
Pi4k2b	0.5183094615421604
Col4a3	-0.5017351929349285
Crip2	-0.5018370371830732
Krt8	-0.5028589679585416
Arhgef26	-0.5032683619419416
Pde7a	-0.5045647774711497
Tinagl1	-0.5047031703452867
Vegfa	-0.5098107457877364
Wdr45	-0.5127649797173468
2200002D01Rik	-0.5146665372501763
Anxa1	-0.5201391880089672
Pmp22	-0.5235666457628573
Gja1	-0.5263961592026196
Emp2	-0.5295184149969078
Gprc5a	-0.5296399841263253
Tjp1	-0.5402430846317936
Atxn1	-0.5411240929800056
Col4a4	-0.547356979737568
Itgb6	-0.5476054211692799
Lgals3	-0.5505538958949839
Ptrf	-0.5514537370375601
Dpysl2	-0.5543476947671407
Dag1	-0.5573228800190858
Lmo7	-0.5710670873688707
Clic3	-0.5719134766025505
Krt7	-0.5722035836653517
Msln	-0.5788585256610554
Rpl27-ps3	-0.5799998237872447
Fbln5	-0.5802880531022991
Limch1	-0.5889761128126573
Qk	-0.5909097644037269
Sema3a	-0.6061957018332945
Agrn	-0.6138395534840478
Ppp3ca	-0.621634429579263
Rpl36	-0.6292856130421363
S100a6	-0.6368016191430329
Clic5	-0.6440293678298686
Tmem213	-0.6449548549019842
Cav1	-0.6513514471783725
Akap5	-0.6553497518466207
Gm10076	-0.6556038210014428
Myh9	-0.6669525361165529
Rtkn2	-0.6687229083114037
Ahnak	-0.6703889505832775
Krt19	-0.6721820243540884
Pdpn	-0.6863026694720983
Fstl1	-0.7053307357335571
Hopx	-0.70652515241782
Sdpr	-0.7509343843985014
